source,target
41505,402127
3408,174524
35418,179717
35418,458310
35418,179718
35418,178327
35418,528454
35418,544673
35418,205728
35418,1084804
170594,84978
166113,153706
107568,132092
22295,7701
22295,206618
226253,399869
92397,80829
1043358,1043356
1043358,1043357
548285,546832
548285,188895
238103,411643
501365,25755
501365,1062787
46348,55484
46348,182152
1001571,1001577
1001571,1001573
1001571,1001572
1001571,1001574
456293,541313
62731,189563
98059,100549
1001627,1001630
1070770,1070858
193738,108959
193738,521752
193738,521753
193738,521750
193738,521751
193738,521754
193738,521755
1000999,143272
459158,469247
179701,579604
179701,527413
179701,527406
179701,527407
179701,527414
179701,527415
179701,527410
179701,579603
1000994,1000998
139739,396033
139739,530748
139739,530749
139739,530917
139739,530918
139739,1043804
2003,413091
2003,413092
2003,1001702
2003,413086
2003,413088
2003,413089
2003,401125
2003,395876
2003,393309
2003,413093
2003,403930
2003,413090
2003,403926
2003,391965
2003,394737
2003,392150
2003,160051
477907,481202
477907,481203
1061597,1073356
178275,555073
24483,571578
24483,571580
24483,524919
24483,571579
24483,524923
48215,450111
48215,209628
445529,31892
56759,261304
1075300,262276
224716,1048295
224716,401841
224716,1044312
224716,1044313
224716,1044314
224716,1044300
224716,1044299
224716,394721
224716,394718
224716,1044311
224716,1044306
224716,1044307
224716,1044302
224716,1044298
224716,400983
224716,1084585
129499,142260
61129,62460
61129,449432
61129,129715
173249,397182
1065712,1085912
1065712,1085914
1065712,1085915
1065712,1085913
1075441,1075443
178678,455247
178678,481826
16803,216423
16820,580780
16820,1003006
16820,193562
10025,543490
10025,543489
10025,160051
10025,543491
10025,543488
1003493,1003543
801,537413
122681,533622
122682,550518
1006225,1073038
1006225,1073039
122678,518079
1003483,1003543
693,578514
693,578513
693,388747
693,407549
693,408326
693,411468
693,411473
693,424403
693,574623
182183,394853
117380,13955
117380,121275
91848,398874
91848,395526
345801,183292
202503,390308
202503,535811
206040,423090
206040,423083
206040,423084
206040,423086
206040,423085
484335,554447
484335,554444
484335,554451
484335,554449
484335,554328
484335,554453
484335,554439
484335,554441
484335,554445
484335,554452
484335,554443
484335,554446
484335,554442
484335,554450
484335,1081156
171803,441292
171803,441291
1005032,1005034
1005032,1005033
40831,395543
216951,244326
216951,456281
241078,394490
241078,1082340
241078,1082342
241078,1082343
241078,405484
536335,392558
1003313,1060800
57707,235602
57707,511529
57707,418714
301210,559329
73957,389474
73957,394769
525013,535141
528380,1002495
528380,1002369
185362,444102
522021,524907
522021,524869
522021,524908
522021,524905
522021,1083516
525010,444102
1236,397762
456060,486839
242406,475463
185286,392528
185286,404080
185286,478792
