source,target
87097,488244
87097,524732
542310,577081
177127,204264
510039,107307
510039,463938
552322,204886
552322,444327
552322,553664
552322,148351
1005069,1064596
1004839,1004840
493176,522129
493176,1005466
556446,153619
548199,548201
303603,259981
503385,578407
474391,97783
1008259,430823
1008259,491839
1008259,437124
1008259,109051
1008259,259789
166896,548285
166896,496297
166896,444777
166896,559642
166896,501365
166896,251360
54666,483157
4965,491735
4965,502378
516073,523804
1068728,575086
1049838,455732
50647,1004295
130786,435128
130786,1069411
130786,1003861
303206,461148
303206,242831
1071091,1084009
1071091,1084007
565058,1071766
253945,104853
253945,229583
253945,223281
209009,223795
520382,552034
484130,97889
576388,1061925
577335,223739
470821,128173
248512,248674
388092,482150
388092,313601
388092,229844
388092,148757
388092,134909
388092,57865
388092,57964
1069064,235233
511364,129826
511364,1041266
511364,449166
511364,449165
239583,444260
239583,1031687
239583,559461
239583,1058199
239583,212717
239583,1037397
1049490,560815
1049490,1041703
1049490,563673
212719,326445
212719,208666
212719,464670
69448,128201
34312,444410
34312,33807
34312,1065601
34312,1063903
34312,495193
85702,51104
1054857,1070929
1054857,1082699
358187,209626
358187,140326
358187,242933
59818,1035340
59818,1040796
199575,199574
325240,1025019
325240,1048477
325240,1061593
325240,105188
325240,1058631
325240,1078026
325240,1082688
129918,1033717
542577,97087
542577,57927
542577,1034089
1024455,508504
1024455,1025124
1024455,256120
1024455,48807
1024455,65018
1024455,1052854
1024455,1024591
475447,445391
1002891,130138
1002891,451953
222995,543790
222995,457154
222995,543599
222995,543582
222995,543795
222995,543585
222995,543605
222995,487618
222995,1071467
222995,1066708
222995,543554
222995,1071469
222995,543597
222995,1073355
222995,1073336
222995,1073335
222995,1073349
222995,1073344
222995,1073339
222995,1073341
222995,1073352
222995,1073351
222995,1073350
222995,31238
222995,467569
1050643,1050644
1004464,1087521
301521,1674
301521,13003
301521,15186
519898,486351
519898,144516
519898,358041
519898,103015
519898,493445
519898,182183
519898,911
519898,491118
444504,249690
444504,119660
444504,212913
444504,79265
444504,238177
444504,106920
444504,488806
444504,444505
444504,1088621
444504,1088596
444504,489734
28866,461963
28866,461962
28866,39126
268134,96652
6765,29993
335357,165278
335357,102450
335357,131988
335357,477516
1070466,1070465
555046,555061
1041668,14783
1041668,36687
1041668,81581
1041668,521172
1041668,451480
1041668,252742
1041668,243710
1041668,236749
1041668,216980
1041668,118355
522879,254401
522879,14783
522879,533612
522879,506913
522879,426360
522879,199929
414145,211220
414145,202715
414145,440876
414145,57707
414145,236749
414145,426360
414145,199929
1057361,531118
1057361,253166
25811,412706
301999,524916
301999,522021
302000,74784
302000,810
302000,1087486
302000,1086281
302000,1087787
302000,1087980
1003511,73957
1003511,1087981
1003511,1087988
1003511,1087989
526218,185397
526218,525013
526218,528380
526218,184332
526218,185362
526218,185330
526218,526216
526218,525010
526218,550144
549938,521718
549938,1085361
549938,504917
549938,549939
549938,549941
1043749,1063228
1043749,97885
1043785,1040645
108271,542362
108271,561926
217072,561926
54104,1086010
363900,1082187
301320,245112
470192,47738
300421,525386
300421,1002153
300421,1002454
300421,115703
300421,115705
300421,1002220
300421,1002170
300421,1002126
300421,173737
300421,115706
300421,115704
300421,1002184
300421,1002437
300421,1002138
300421,118848
300421,1002361
300421,1002449
460848,436879
460848,1002353
460848,1002184
460848,1002354
302189,224876
302189,464280
302189,449785
302189,1088776
106625,141329
466141,194446
466141,97036
466141,190306
466141,1088227
466141,1088228
466141,1088229
466141,1088226
466141,1088225
466141,1088770
466141,1088766
466141,1088774
466141,1088759
1040800,1082282
1040800,1081880
1040800,1071686
1040800,1081678
1040800,1079774
1040800,1081524
1040800,1081939
1040800,1084311
1040800,1084306
408885,1069680
408885,1069694
408885,1069681
408885,1069696
408885,1069789
408885,1069691
408885,1069682
408885,1069688
408885,1069684
408885,415868
408885,415931
408885,1069679
408885,1069647
528376,572531
528376,572530
412572,1001047
412572,447606
412572,1063775
412572,1001014
412572,1001031
412572,110852
412572,1001063
572652,525755
191512,255468
85453,122858
85453,227988
85453,232754
1319,401366
1319,398578
3392,7529
3392,446069
3392,533518
3392,1006666
3392,62495
161354,71310
458244,59037
128440,558843
413764,175455
413764,389871
413764,57260
413764,81089
1002499,1002500
416118,237201
527306,558176
527306,551451
527306,1081693
240928,542116
240928,522138
240928,541777
506084,541698
506084,1308
467484,1314
467484,456175
467484,1273
467484,535849
300479,1380
300479,1381
34292,2815
34292,233322
34292,106195
80352,463752
197066,185533
197066,491
197066,187882
91936,1316
91936,441263
91936,1273
91936,81517
91936,262253
91936,1874
203123,139750
497712,241190
497712,447074
497712,540198
497712,513667
541803,542002
541803,542081
541803,541950
541803,542001
541803,541791
541997,1084143
1005010,541821
1161,135242
1161,135243
1161,135245
1161,135246
1161,135247
1161,135249
1161,219099
135251,135252
135251,135253
135257,3316
135257,135260
234188,60156
234188,212394
234188,219104
234188,219105
300754,39170
252892,1067963
252892,1067961
252892,257752
252892,571914
252892,572211
1053714,495420
344507,263510
406047,59301
1042842,1042867
1042842,1042854
1042842,1042860
186491,401106
186491,576482
161123,633
161123,140
161123,91850
161123,43574
86986,444509
239949,105513
358910,246756
484500,2612
484500,1074417
484500,517230
484500,569951
484500,1082754
354945,223811
354945,522703
354945,1073869
559566,541740
559566,542017
1056878,1085649
581174,1081317
541806,542078
541806,1081442
541806,541812
541806,514400
541806,542080
541891,1082242
541891,541893
541891,541892
541891,1082279
541891,541894
541891,1085547
101246,189369
232362,257790
1085123,542105
7044,7815
409866,409867
572511,572512
466919,572235
25027,1315
25027,454688
25027,454692
25027,454323
25027,454670
25027,478610
25027,454320
25027,454318
1072648,1276
1072648,104851
66,388733
512013,1054732
512013,220810
512013,1086195
214582,1084940
302996,237469
1069182,139130
455454,455455
455454,416397
1001091,567584
1001091,517796
1001095,87621
529627,167
529627,207480
529627,255208
529627,1063942
529627,1063981
529627,217648
529627,93794
529627,84041
529627,1063982
529627,223040
529627,505910
450840,515586
450840,403619
450840,479370
450840,442250
450840,363460
450840,479372
450840,486781
450840,502001
450840,484254
450840,1965
450840,462386
450840,420689
450840,450799
450840,237469
301886,268350
301886,2775
301886,17267
301886,24564
301886,39188
301886,116392
301886,168086
301886,168087
154610,542062
154610,542116
315993,96349
60450,545813
56726,139320
47503,566649
47503,554268
47503,566650
47503,522722
47503,246831
128930,498920
497350,565947
552546,552547
160596,154429
302261,141328
302261,901
302261,141329
129963,188342
303038,243765
1053173,1053239
73345,363723
73345,350274
73345,560020
73345,493788
90019,530731
159253,572
159253,460
159253,756
159253,571
159253,43574
159253,192672
159253,1073153
159253,461
1053095,1053097
1063720,1063684
1063717,1063718
1063726,1063727
542120,1081513
542120,542121
542120,542183
542120,542124
542120,542057
542120,542125
542120,542123
542120,542136
542120,542094
542120,542128
542120,542127
542120,541754
542120,542126
302999,237646
205221,558461
528389,528414
528389,528415
528389,528427
528389,528432
528389,528442
528389,528443
528389,528444
528389,528446
