source,target
300068,236732
300068,38605
300068,41881
300068,137004
300068,46001
300068,420192
300068,421654
300068,234906
300068,223353
300068,17283
300068,18276
300068,18279
300068,18286
300068,18844
300068,19634
300068,19643
300068,30690
300068,31680
300068,31681
300068,34189
300068,34252
300068,35513
300068,188010
300068,186463
300068,93199
300068,117237
300068,338277
300068,100852
300068,103061
300068,104787
300068,300141
300068,300219
300068,105525
300068,59750
300068,20425
300068,20558
300068,121416
300068,14923
300068,475426
300068,476119
300068,476959
300068,1007974
300068,1007989
300068,50159
300068,442902
300068,306007
300068,168381
300068,168413
300068,41270
300068,44765
300068,200731
300068,26394
300068,157777
300068,87709
300068,479070
300068,41214
300068,11069
300068,15352
300068,458686
300068,469292
300068,458687
300068,203795
300068,97540
300068,94377
300068,59545
300068,85426
300068,458471
300068,50968
300068,80990
300068,19365
300068,86633
300068,74334
300068,70790
300068,29529
300068,26374
300068,468033
300068,300983
300068,1001059
300068,1001054
300068,1001037
300068,457579
300068,303442
300068,506757
300068,459289
300068,457449
300068,199518
300068,38219
300068,83798
300068,101671
300068,108793
300068,459037
300068,344348
300068,300156
300068,1004895
300068,1004905
300068,1004910
300068,1004894
300068,1004911
300068,1004889
300068,1004950
300068,1004949
300068,1005026
300068,1004812
300068,1004888
300068,1004904
300068,1004969
300068,1004873
300068,1004917
300068,1004941
300068,1004919
300068,1004885
300068,1004886
300068,1004953
300068,1004984
300068,1004975
300068,1004956
300068,1005013
300068,1004870
300068,1004982
300068,1004835
300068,1004903
300068,1004892
300068,1004909
300068,1004862
300068,1004918
300068,1004940
300068,1004883
300068,1004879
300068,1004897
300068,1004878
300068,1004959
300068,1004881
300068,1004993
300068,1004867
300068,1004974
300068,1004999
300068,1004912
300068,1004871
300068,1004945
300068,1005020
300068,1004971
300068,1004951
300068,1004848
300068,1004916
300068,1004906
300068,1004985
300068,1004972
300068,1004970
300068,1004991
300068,1004872
300068,1004814
300068,1004893
300068,1004891
300068,1004882
300068,1005000
300068,1004868
300068,1004869
300068,1004896
300068,203317
300068,300128
300068,462155
300068,215248
300068,500632
300068,35529
300068,456087
300068,456442
300068,20579
300068,300210
300068,1001010
300068,1001041
300068,1001036
300068,1001040
300068,1001019
300068,1001020
300068,1001035
300068,1001030
300068,1001029
300068,1001026
300068,1001025
300068,1001039
300068,1001013
300068,1001038
300068,1001034
300068,300119
300068,455258
300068,100010
300068,49592
300068,36145
300068,33307
300068,459004
300068,459006
300068,528706
300068,18190
300068,36140
300068,2628
300068,33306
300068,23827
300068,25104
300068,30497
300068,458552
300068,14352
300068,465080
300068,18155
300068,12938
300068,235266
300068,12949
300068,486214
300068,459158
300068,455255
300068,491450
300068,204525
300068,411479
300068,459028
300068,258897
300068,207845
300068,534836
300068,455241
300068,523721
300068,18258
300068,123591
300068,542890
300068,189806
300068,60289
300068,26373
300068,18186
300068,460874
300068,456007
300068,220097
300068,495459
300068,18188
300068,35265
300068,406956
300068,21882
300068,20126
300068,324382
300068,300123
300068,435353
300068,41309
300068,2592
300068,2731
300068,19558
300068,22092
300068,22471
300068,26538
300068,29083
300068,29301
300068,29472
300068,29817
300068,29820
300068,30129
300068,30692
300068,32465
300068,32907
300068,46124
300068,46679
300068,49591
300068,50114
300068,59539
300068,60141
300068,67967
300068,70758
300068,463225
300068,85086
300068,85932
300068,91164
300068,111503
300068,159898
300068,194543
300068,194544
300068,230320
300068,426105
300068,51589
300068,470444
300068,495684
300068,581174
300068,541891
300068,19452
300068,156894
300068,115760
300068,328304
300068,14803
300068,453714
300068,19483
300068,55815
300068,460824
300068,43171
300068,46496
300068,499562
300068,1058622
300068,541875
300068,493499
300068,495894
300068,242358
300068,237366
300068,487472
300068,201319
300068,155621
300068,101615
300068,100768
300068,29326
300068,14806
300068,473315
300068,464999
300068,462030
300068,462029
300068,462028
300068,457869
300068,457069
300068,455376
300068,541897
300068,223600
300068,214904
300068,179841
300068,166151
300068,21351
300068,16426
300068,486402
300068,478165
300068,472452
300068,470193
300068,466446
300068,461866
300068,459772
300068,459517
300068,457588
300068,457450
300068,456597
300068,456444
300068,418011
300068,239781
300068,490902
300068,204707
300068,181473
300068,12186
300068,486292
300068,481034
300068,458416
300068,455654
300068,223751
300068,153790
300068,350185
300068,84656
300068,476642
300068,468614
300068,468613
300068,468569
300068,458469
300068,457870
300068,456441
300068,455632
300068,455051
300068,455009
300068,447479
300068,443283
300068,431635
300068,105608
300068,454982
300068,542105
300068,452692
300068,552564
300068,444301
300068,414766
300068,410472
300068,1082057
300068,1053342
300068,1051097
300068,222583
300068,360410
300068,353778
300068,1004800
300068,466092
300068,565099
300068,541912
300068,541866
300068,1002325
300073,432817
300073,432818
300073,527112
300073,519712
300073,189809
300073,254842
300073,544468
300073,557961
300073,536855
300073,227279
300073,219965
300073,567311
300073,1007830
300073,522665
