source,target
82005,100862
82005,203009
82005,204653
82142,243882
82142,135765
82142,28204
82142,474653
82268,467202
82280,501650
82597,85512
82597,224783
82879,136129
82997,93009
82997,136880
82997,47119
82997,104747
83832,253509
83832,469364
83832,469778
83832,515636
83832,456907
83832,446143
83832,444051
83832,504650
83832,556850
83832,408936
83832,115093
83832,121919
83934,89544
83934,495026
83934,520911
83934,190220
83934,556092
83934,107311
83934,207248
83934,128862
83934,137466
83934,224403
83934,15547
83934,118096
83934,102651
83934,106535
83934,21766
83934,449827
85251,426428
85251,222472
85251,6453
85377,237006
85888,74879
85888,461845
85888,461846
85888,461865
85888,266016
89939,426510
89939,514500
89939,232954
89939,104510
89939,1058468
89939,549899
90268,71695
90268,75557
90268,408581
90277,130677
90606,75115
90606,155079
90606,442209
90606,203783
90625,200018
90759,535425
91203,147998
91203,142175
91203,567750
91203,549370
91203,550198
91821,62301
91821,467554
91821,447605
91821,176761
91821,254792
91821,227131
91821,11462
91821,117299
91821,230305
86555,58659
86555,95097
86555,86621
86555,253444
86555,425584
86555,468015
86555,444758
86555,444759
86555,444760
86555,444761
86555,444824
86555,444825
86555,444826
86555,444991
86555,444996
86555,444998
86555,187694
86555,155304
86555,553283
86555,553284
86555,559123
86555,229818
86555,411589
86555,128994
86555,217581
86555,10137
86555,101754
86555,109186
86555,1003168
86555,1003169
86555,1040636
86555,579939
86671,72227
86671,90529
86671,249369
86671,425843
86671,478583
86671,525759
86671,267292
86671,173022
86671,238975
86671,239216
86671,10095
86671,510771
87313,87304
87313,424712
87313,486545
87313,522925
87313,186730
87313,41443
87313,416416
87313,211780
87313,100331
87313,430096
63690,264551
63989,58460
63989,92201
63989,92289
63989,444973
63989,1064595
63989,217508
63989,111262
87493,72106
87773,1066351
97774,454851
98064,246888
98064,440866
98064,418338
98064,569838
98761,497194
98761,111543
99539,69615
99539,92500
99539,478540
99539,161587
99539,164861
99539,171705
99539,554134
99539,206865
99539,206866
99539,44675
99539,233038
99539,130531
99539,5581
99539,11735
99539,104303
99539,1071
99539,1203
99539,1318
99539,1325
99539,2565
99539,2566
99539,202539
99539,202540
99539,202541
99539,202545
99539,202546
99539,202547
99539,202548
99539,202549
99539,202550
99539,202551
99539,57575
99539,24664
99539,1002245
99539,146317
99539,1002422
99539,44429
99539,1004874
99539,1004759
99539,1324
99539,1004860
99539,32826
99539,1001018
99539,1319
99539,20824
99539,1316
99539,1273
99539,84824
99539,179622
99539,526949
99539,145342
99539,542246
99539,527436
99539,1321
99539,1327
99539,1234
99539,161585
99539,1042364
99539,24515
99539,301309
99539,1004986
99539,1005044
99539,245719
99539,1043360
99539,161590
99539,13175
99539,578027
99539,161589
99539,115530
99539,209113
99539,501160
99539,1084115
54022,128050
54022,1053244
54022,205206
54022,550149
54022,443468
54022,1072036
54022,532266
54022,1074042
54022,532259
54022,1083641
54027,168263
54027,410934
54027,1040498
54027,1004748
54042,530847
54086,57292
54086,89591
54086,444665
54086,175568
54086,556357
54086,205919
54086,122057
54086,136792
54086,10159
54086,102822
54086,103834
54366,75174
54366,264651
54366,198879
54366,177646
54366,206253
54366,128022
54366,237051
54366,5639
54366,121401
54366,121565
243421,66326
243421,131322
243738,78124
243738,23856
243969,41538
244058,76368
245020,153626
245020,464211
245206,94001
245206,425858
245206,452286
245206,573979
245206,15116
246041,401789
246229,227249
246643,551277
247082,192491
247362,215895
247362,489710
247362,525243
247362,75
247362,1051130
247362,490899
248355,1070717
248373,443866
248373,168243
248373,168247
248373,225060
248373,31028
249724,72635
250017,244989
250023,67834
250023,63243
250023,249601
250023,435600
250023,439383
250023,439384
250023,514498
250023,161557
250023,196410
250023,186480
250023,146192
250023,547362
250023,547529
250023,547740
250023,1066845
250023,206723
250023,206774
250023,207711
250023,4698
250023,207878
250023,230297
250023,45884
250023,133279
250023,6060
250023,7176
250023,104818
250023,98059
250036,119479
250969,185003
250969,106264
251226,166928
251226,566372
251226,566662
251238,442275
251238,485829
251238,515154
251238,198244
251238,177807
251238,506214
251238,233954
251238,403250
251238,16480
251238,540272
251238,540319
251826,491809
251826,524606
251826,502315
251827,62348
251827,94578
251827,453262
251827,504334
251827,127907
251827,39328
251827,42630
251827,409614
251827,412102
251827,227205
251827,32899
251827,501428
251827,103604
251827,540305
251827,552072
251979,519650
251979,9253
252490,253079
252490,464757
252490,458976
252490,450288
252490,443060
252490,268401
252490,240526
252490,501043
252490,238265
252490,229448
252490,131368
252490,217038
252743,251402
252743,458465
252743,451326
252743,451327
252743,521948
252743,1071524
252904,478563
252912,73682
252912,90640
252912,90666
252912,425931
252912,452155
252912,522151
252912,238607
252912,239877
252912,143081
252912,130444
252912,112314
252912,120311
252912,570407
252912,581041
252912,562484
252912,1087234
253042,102156
253104,79461
253104,164290
253104,411050
253104,1071041
253472,549351
253513,492428
253513,492430
253513,163508
253513,537485
253513,495714
253806,252567
253806,41293
253806,549506
253806,549509
253831,50345
253831,243621
253831,460402
253831,174440
253831,177237
253831,146944
253831,537163
253831,206570
253831,238220
253831,495686
253831,227669
253831,133024
253831,10787
253831,211373
253831,563265
253831,1007413
253831,475843
253831,57393
253831,1070656
253844,425973
253844,482805
253844,150915
253844,504028
253844,546323
253844,568589
253844,224742
253844,225013
253844,11292
253844,118879
253844,109722
253844,540998
432791,141820
432896,94221
432896,456684
432896,163504
432896,179273
432896,1063782
432896,359961
432896,14088
432896,7118
432896,212547
432896,129
432896,599
432896,1048384
432896,93721
432896,432899
432896,24558
432896,25118
432896,1043271
432896,563532
432896,1043268
432896,1002124
432896,1001895
432896,85530
432896,79
432896,1043062
432896,1043224
432896,1002499
432896,1490
432896,20150
432896,1043074
432896,1043225
433118,444251
433319,455375
433319,254494
433319,555018
433319,408096
433480,480887
434241,446045
434276,486373
434276,535160
434321,1062063
434321,568589
434321,45496
434321,29898
434321,115666
434321,568033
434321,432000
434456,440691
434909,479237
434909,111724
435003,471267
435003,565569
435003,565578
435086,522159
435231,461627
435383,563669
435522,435523
436210,231353
439225,440704
439433,439432
439509,1082287
439581,134298
439581,566505
439581,542080
439680,522125
439680,1054416
439680,572331
439755,159393
439755,1085368
439755,1085369
439755,1085367
439755,1085370
440335,440336
440340,440341
440342,440343
440348,440349
440348,495292
440350,440351
440350,462196
440350,462200
440350,564397
440352,440538
440352,440543
440352,440597
440352,440598
440352,440719
440352,563343
440358,440654
440364,440657
440364,440671
440377,440448
440377,440534
440377,440574
440377,440599
440377,440628
440377,440634
440377,440637
440377,440664
440377,462195
440377,519731
440403,440679
440417,440684
440423,440640
440426,440688
440443,440696
440458,440705
440539,440540
440545,440546
440545,440565
440545,440622
440545,440700
440545,519723
440545,519755
440545,559313
440545,559316
440545,559487
440545,563377
440547,440556
440547,559325
440554,440555
440554,440883
440557,440558
440557,440642
440557,564862
440559,440560
440559,462742
440559,462743
440561,440562
440569,440570
440572,489787
440582,440583
440582,440594
440582,563185
440586,440587
440588,527773
440588,565371
440600,440601
440606,440607
440606,443005
440606,109347
440606,564157
440611,440612
440611,440613
440611,262786
440616,440615
440616,440617
440644,440645
440644,440646
440644,491787
440644,182886
440644,545948
440644,1006593
440644,327880
440885,502136
440970,440578
440988,440319
440988,1039637
441268,441269
441436,561200
441856,441857
441981,156231
441981,535588
442001,442002
258630,473257
258776,479906
258776,254434
258776,555748
258776,1060986
258776,211714
258776,264849
258776,439630
258776,552810
259761,84013
259761,244085
259761,440172
259761,442146
259761,483997
259761,519434
259761,489351
259761,491691
259761,442411
259761,527342
259761,186616
259761,153883
259761,556413
259761,560927
259761,262361
259761,1002314
259761,262230
259761,173796
259761,234053
259761,412611
259761,220680
259761,209729
259761,101541
259761,200235
259761,579091
259761,23279
259761,568581
259761,474475
259761,131738
259761,13094
259761,211916
259761,150294
259761,205557
259761,1063530
259761,27730
259761,1084540
259761,1067841
259761,100953
259761,598
259761,388106
259761,525101
259761,525419
259761,492907
259761,24489
259761,241516
259761,1002364
259761,100766
259761,3102
259761,1058635
259761,247140
259761,1083547
259761,1070633
259761,559783
259761,552482
259761,407321
259761,501257
259761,1002390
259761,1002376
259761,473693
259761,578709
259761,476572
259761,29442
259761,1002315
259761,713
259761,19229
259761,1002421
259761,139716
259761,136813
259761,267387
259761,223732
259761,406917
259761,241835
259761,1087565
259761,1002405
259761,1085389
259761,478176
259761,1086057
261123,115939
263661,453706
263661,495492
264095,502815
424370,566196
424370,1002474
424370,539616
424370,1078087
424370,1063447
424370,1048545
424370,196623
424370,1002453
424370,456753
424408,1003089
424460,424461
424533,425743
424533,495281
424614,424613
424626,424628
424670,424671
424858,492891
424938,49307
424938,235627
424938,211417
425052,425053
425052,265760
425052,551887
425052,551888
425296,259978
425296,259979
425296,259982
425296,511772
425321,435655
425881,511450
425906,425907
425908,425909
425933,425934
425960,133090
426074,474319
426417,426425
426530,426529
426567,426568
427270,434790
460939,56773
460939,58161
460939,62363
460939,477530
460939,168510
460939,174258
460939,185514
460939,579313
460939,579314
460939,217242
460939,351153
460939,111652
460939,118127
460939,213764
460939,214912
460939,1064631
460939,574694
460939,433813
461054,252065
461054,492943
461208,490349
461380,89565
461380,264190
461380,522927
461380,183951
461380,132954
461380,116085
461380,212167
461380,558060
461380,472286
461402,461387
461402,461407
461465,461486
461465,461487
461465,444203
461465,164547
461465,169344
461465,188778
461465,232944
461586,461074
461855,441971
461921,520535
461921,150837
461921,558693
461921,425067
461921,1059010
461975,491761
461990,256879
461990,1002314
461990,1002425
461990,1002376
462070,62821
462070,255909
462100,3780
462142,462144
462142,415861
462142,218684
462194,562953
462211,465378
462211,505866
462215,1060343
462257,492934
462270,500766
462272,440536
462290,462220
462312,564350
462316,436156
462316,518974
462316,562952
462316,563254
462345,462346
462345,462347
462398,553309
462421,160981
462421,150774
462519,555057
462555,462560
462658,262447
462658,548213
463159,133223
463171,488112
463171,326437
463171,573126
463397,241196
463441,74958
463441,443091
463441,1054246
463441,1054250
463441,563352
463441,26926
463444,416180
463501,140687
463597,463598
463603,463604
463613,463614
463628,463629
464537,175412
464659,529049
464659,19792
464817,464616
465012,465013
465012,455394
465014,71350
465145,465146
465306,500787
465336,564866
465392,263999
465414,565619
465415,67243
465415,73070
465415,62618
465415,441840
465415,554649
465415,317902
465415,476068
465958,487333
466053,486178
466053,558851
466053,4751
466053,1001296
466211,111546
466241,547472
466264,466265
466264,481112
466264,126630
466264,226867
466264,10411
466264,565541
466264,567207
466445,12306
466490,550702
466616,481060
466673,59210
466673,90820
466673,441686
466673,262918
466673,494144
466673,170549
466673,507068
466673,507324
466673,220717
466673,220728
466673,209426
466673,118520
466673,102160
466673,21462
466673,21463
466673,82342
466673,566938
466673,578207
466673,79948
466782,92865
466782,529980
466782,529986
466782,504116
466782,230028
466782,33996
466797,490326
466797,521885
466797,563309
466797,97944
466801,76079
466801,92031
466863,561173
466863,567617
466882,466755
466882,466884
466882,467206
466882,467321
466882,574604
466882,574607
466882,575179
466882,576263
466883,466887
466883,466888
466883,467337
466883,574606
466883,576264
466883,576265
466883,576269
466883,576277
466883,1002474
466883,1076989
466957,84115
466962,490266
466962,490268
467169,54774
467169,500203
467169,510018
467170,546920
467316,1008156
467857,452283
468398,501278
468575,154953
468575,7329
468782,502650
468785,576149
469055,218207
469055,200466
469055,21857
469055,567112
469055,472545
469055,206847
469142,495249
469142,495275
469142,495276
469142,495289
469145,495272
469147,565566
469160,524735
469160,575854
469164,495268
469164,172047
469164,565617
469164,565621
469321,561229
469322,200535
469323,469316
469324,469316
469462,469148
469466,469181
469494,469523
469497,491008
469497,491009
469497,526343
469497,202476
469497,494722
469531,71171
469531,469532
469531,133188
469531,14969
469531,257198
469589,559640
469589,1008000
469687,99325
469687,207956
469687,579473
469726,242275
469740,54323
469740,475823
469759,478334
469833,476362
469931,71103
469931,193576
469931,546982
470087,1030855
470340,469629
470398,183294
470422,470423
470597,412322
470597,549448
